waktu,load
2018-01-01 00:00:00,6025.0
2018-01-01 01:00:00,5844.0
2018-01-01 02:00:00,5728.0
2018-01-01 03:00:00,5591.0
2018-01-01 04:00:00,5611.0
2018-01-01 05:00:00,5540.0
2018-01-01 06:00:00,5354.0
2018-01-01 07:00:00,5562.0
2018-01-01 08:00:00,5623.0
2018-01-01 09:00:00,5860.0
2018-01-01 10:00:00,5972.0
2018-01-01 11:00:00,6024.0
2018-01-01 12:00:00,6084.0
2018-01-01 13:00:00,6087.0
2018-01-01 14:00:00,6089.0
2018-01-01 15:00:00,6186.0
2018-01-01 16:00:00,6319.0
2018-01-01 17:00:00,6376.0
2018-01-01 18:00:00,7067.0
2018-01-01 19:00:00,6997.0
2018-01-01 20:00:00,6981.0
2018-01-01 21:00:00,6917.0
2018-01-01 22:00:00,6570.0
2018-01-01 23:00:00,6544.0
2018-01-02 00:00:00,6251.0
2018-01-02 01:00:00,6151.0
2018-01-02 02:00:00,6081.0
2018-01-02 03:00:00,5980.0
2018-01-02 04:00:00,6079.0
2018-01-02 05:00:00,6302.0
2018-01-02 06:00:00,6660.0
2018-01-02 07:00:00,6121.0
2018-01-02 08:00:00,7376.0
2018-01-02 09:00:00,8549.0
2018-01-02 10:00:00,9054.0
2018-01-02 11:00:00,9131.0
2018-01-02 12:00:00,8951.0
2018-01-02 13:00:00,9463.0
2018-01-02 14:00:00,9500.0
2018-01-02 15:00:00,9411.0
2018-01-02 16:00:00,9236.0
2018-01-02 17:00:00,8923.0
2018-01-02 18:00:00,8874.0
2018-01-02 19:00:00,8655.0
2018-01-02 20:00:00,8571.0
2018-01-02 21:00:00,8394.0
2018-01-02 22:00:00,8138.0
2018-01-02 23:00:00,7879.0
2018-01-03 00:00:00,7559.0
2018-01-03 01:00:00,7419.0
2018-01-03 02:00:00,7187.0
2018-01-03 03:00:00,7060.0
2018-01-03 04:00:00,7217.0
2018-01-03 05:00:00,7418.0
2018-01-03 06:00:00,7575.0
2018-01-03 07:00:00,8247.0
2018-01-03 08:00:00,9026.0
2018-01-03 09:00:00,9444.0
2018-01-03 10:00:00,9720.0
2018-01-03 11:00:00,9672.0
2018-01-03 12:00:00,9357.0
2018-01-03 13:00:00,9924.0
2018-01-03 14:00:00,9856.0
2018-01-03 15:00:00,9751.0
2018-01-03 16:00:00,9494.0
2018-01-03 17:00:00,9266.0
2018-01-03 18:00:00,9056.0
2018-01-03 19:00:00,8967.0
2018-01-03 20:00:00,8805.0
2018-01-03 21:00:00,8767.0
2018-01-03 22:00:00,8407.0
2018-01-03 23:00:00,8109.0
2018-01-04 00:00:00,7743.0
2018-01-04 01:00:00,7766.0
2018-01-04 02:00:00,7401.0
2018-01-04 03:00:00,7325.0
2018-01-04 04:00:00,7446.0
2018-01-04 05:00:00,7656.0
2018-01-04 06:00:00,7906.0
2018-01-04 07:00:00,8617.0
2018-01-04 08:00:00,9142.0
2018-01-04 09:00:00,9565.0
2018-01-04 10:00:00,9843.0
2018-01-04 11:00:00,9876.0
2018-01-04 12:00:00,9445.0
2018-01-04 13:00:00,9992.0
2018-01-04 14:00:00,9909.0
2018-01-04 15:00:00,9947.0
2018-01-04 16:00:00,9668.0
2018-01-04 17:00:00,9364.0
2018-01-04 18:00:00,9231.0
2018-01-04 19:00:00,9064.0
2018-01-04 20:00:00,9013.0
2018-01-04 21:00:00,8851.0
2018-01-04 22:00:00,8560.0
2018-01-04 23:00:00,8258.0
2018-01-05 00:00:00,7818.0
2018-01-05 01:00:00,7721.0
2018-01-05 02:00:00,7556.0
2018-01-05 03:00:00,7479.0
2018-01-05 04:00:00,7452.0
2018-01-05 05:00:00,7589.0
2018-01-05 06:00:00,7812.0
2018-01-05 07:00:00,8564.0
2018-01-05 08:00:00,9218.0
2018-01-05 09:00:00,9583.0
2018-01-05 10:00:00,9742.0
2018-01-05 11:00:00,9245.0
2018-01-05 12:00:00,8847.0
2018-01-05 13:00:00,9705.0
2018-01-05 14:00:00,9679.0
2018-01-05 15:00:00,9625.0
2018-01-05 16:00:00,9357.0
2018-01-05 17:00:00,9149.0
2018-01-05 18:00:00,9045.0
2018-01-05 19:00:00,8926.0
2018-01-05 20:00:00,8744.0
2018-01-05 21:00:00,8550.0
2018-01-05 22:00:00,8295.0
2018-01-05 23:00:00,7929.0
2018-01-06 00:00:00,7569.0
2018-01-06 01:00:00,7475.0
2018-01-06 02:00:00,7339.0
2018-01-06 03:00:00,7140.0
2018-01-06 04:00:00,7208.0
2018-01-06 05:00:00,7324.0
2018-01-06 06:00:00,7206.0
2018-01-06 07:00:00,7489.0
2018-01-06 08:00:00,7920.0
2018-01-06 09:00:00,8312.0
2018-01-06 10:00:00,8511.0
2018-01-06 11:00:00,8497.0
2018-01-06 12:00:00,8255.0
2018-01-06 13:00:00,8392.0
2018-01-06 14:00:00,8183.0
2018-01-06 15:00:00,8244.0
2018-01-06 16:00:00,8019.0
2018-01-06 17:00:00,8064.0
2018-01-06 18:00:00,8376.0
2018-01-06 19:00:00,8265.0
2018-01-06 20:00:00,8243.0
2018-01-06 21:00:00,8111.0
2018-01-06 22:00:00,7817.0
2018-01-06 23:00:00,7584.0
2018-01-07 00:00:00,7196.0
2018-01-07 01:00:00,7081.0
2018-01-07 02:00:00,6873.0
2018-01-07 03:00:00,6810.0
2018-01-07 04:00:00,6865.0
2018-01-07 05:00:00,6845.0
2018-01-07 06:00:00,6699.0
2018-01-07 07:00:00,6664.0
2018-01-07 08:00:00,6831.0
2018-01-07 09:00:00,7042.0
2018-01-07 10:00:00,7325.0
2018-01-07 11:00:00,7304.0
2018-01-07 12:00:00,7088.0
2018-01-07 13:00:00,7167.0
2018-01-07 14:00:00,7036.0
2018-01-07 15:00:00,7112.0
2018-01-07 16:00:00,7181.0
2018-01-07 17:00:00,7347.0
2018-01-07 18:00:00,7955.0
2018-01-07 19:00:00,7889.0
2018-01-07 20:00:00,7925.0
2018-01-07 21:00:00,7859.0
2018-01-07 22:00:00,7604.0
2018-01-07 23:00:00,7222.0
2018-01-08 00:00:00,7036.0
2018-01-08 01:00:00,6912.0
2018-01-08 02:00:00,6755.0
2018-01-08 03:00:00,6671.0
2018-01-08 04:00:00,6667.0
2018-01-08 05:00:00,7099.0
2018-01-08 06:00:00,7372.0
2018-01-08 07:00:00,8063.0
2018-01-08 08:00:00,8872.0
2018-01-08 09:00:00,9456.0
2018-01-08 10:00:00,9675.0
2018-01-08 11:00:00,9586.0
2018-01-08 12:00:00,9375.0
2018-01-08 13:00:00,10065.0
2018-01-08 14:00:00,10066.0
2018-01-08 15:00:00,9972.0
2018-01-08 16:00:00,9697.0
2018-01-08 17:00:00,9461.0
2018-01-08 18:00:00,9437.0
2018-01-08 19:00:00,8727.0
2018-01-08 20:00:00,8743.0
2018-01-08 21:00:00,8623.0
2018-01-08 22:00:00,8349.0
2018-01-08 23:00:00,8016.0
2018-01-09 00:00:00,7996.0
2018-01-09 01:00:00,7918.0
2018-01-09 02:00:00,7715.0
2018-01-09 03:00:00,7553.0
2018-01-09 04:00:00,7576.0
2018-01-09 05:00:00,7873.0
2018-01-09 06:00:00,8051.0
2018-01-09 07:00:00,8545.0
2018-01-09 08:00:00,9193.0
2018-01-09 09:00:00,9632.0
2018-01-09 10:00:00,9873.0
2018-01-09 11:00:00,9726.0
2018-01-09 12:00:00,9340.0
2018-01-09 13:00:00,9791.0
2018-01-09 14:00:00,9961.0
2018-01-09 15:00:00,9963.0
2018-01-09 16:00:00,9746.0
2018-01-09 17:00:00,9248.0
2018-01-09 18:00:00,9387.0
2018-01-09 19:00:00,9413.0
2018-01-09 20:00:00,9184.0
2018-01-09 21:00:00,8905.0
2018-01-09 22:00:00,8689.0
2018-01-09 23:00:00,8382.0
2018-01-10 00:00:00,7991.0
2018-01-10 01:00:00,7812.0
2018-01-10 02:00:00,7616.0
2018-01-10 03:00:00,7421.0
2018-01-10 04:00:00,7454.0
2018-01-10 05:00:00,7861.0
2018-01-10 06:00:00,8103.0
2018-01-10 07:00:00,8426.0
2018-01-10 08:00:00,9073.0
2018-01-10 09:00:00,9368.0
2018-01-10 10:00:00,9850.0
2018-01-10 11:00:00,9869.0
2018-01-10 12:00:00,9568.0
2018-01-10 13:00:00,10160.0
2018-01-10 14:00:00,10075.0
2018-01-10 15:00:00,9937.0
2018-01-10 16:00:00,9857.0
2018-01-10 17:00:00,9355.0
2018-01-10 18:00:00,9404.0
2018-01-10 19:00:00,9463.0
2018-01-10 20:00:00,9245.0
2018-01-10 21:00:00,9126.0
2018-01-10 22:00:00,8656.0
2018-01-10 23:00:00,8297.0
2018-01-11 00:00:00,7850.0
2018-01-11 01:00:00,7626.0
2018-01-11 02:00:00,7594.0
2018-01-11 03:00:00,7382.0
2018-01-11 04:00:00,7436.0
2018-01-11 05:00:00,7806.0
2018-01-11 06:00:00,7983.0
2018-01-11 07:00:00,8338.0
2018-01-11 08:00:00,9281.0
2018-01-11 09:00:00,9526.0
2018-01-11 10:00:00,9652.0
2018-01-11 11:00:00,9683.0
2018-01-11 12:00:00,9195.0
2018-01-11 13:00:00,9887.0
2018-01-11 14:00:00,9830.0
2018-01-11 15:00:00,9830.0
2018-01-11 16:00:00,9498.0
2018-01-11 17:00:00,9231.0
2018-01-11 18:00:00,9054.0
2018-01-11 19:00:00,9085.0
2018-01-11 20:00:00,8940.0
2018-01-11 21:00:00,8697.0
2018-01-11 22:00:00,8395.0
2018-01-11 23:00:00,8280.0
2018-01-12 00:00:00,7661.0
2018-01-12 01:00:00,7627.0
2018-01-12 02:00:00,7357.0
2018-01-12 03:00:00,7227.0
2018-01-12 04:00:00,7179.0
2018-01-12 05:00:00,7567.0
2018-01-12 06:00:00,7851.0
2018-01-12 07:00:00,8388.0
2018-01-12 08:00:00,9036.0
2018-01-12 09:00:00,9405.0
2018-01-12 10:00:00,9829.0
2018-01-12 11:00:00,9494.0
2018-01-12 12:00:00,9012.0
2018-01-12 13:00:00,9868.0
2018-01-12 14:00:00,9898.0
2018-01-12 15:00:00,9848.0
2018-01-12 16:00:00,9716.0
2018-01-12 17:00:00,9311.0
2018-01-12 18:00:00,9241.0
2018-01-12 19:00:00,9272.0
2018-01-12 20:00:00,9058.0
2018-01-12 21:00:00,9093.0
2018-01-12 22:00:00,8617.0
2018-01-12 23:00:00,8224.0
2018-01-13 00:00:00,8014.0
2018-01-13 01:00:00,7842.0
2018-01-13 02:00:00,7518.0
2018-01-13 03:00:00,7444.0
2018-01-13 04:00:00,7525.0
2018-01-13 05:00:00,7627.0
2018-01-13 06:00:00,7451.0
2018-01-13 07:00:00,7705.0
2018-01-13 08:00:00,8164.0
2018-01-13 09:00:00,8530.0
2018-01-13 10:00:00,8717.0
2018-01-13 11:00:00,8621.0
2018-01-13 12:00:00,8529.0
2018-01-13 13:00:00,8620.0
2018-01-13 14:00:00,8551.0
2018-01-13 15:00:00,8398.0
2018-01-13 16:00:00,8278.0
2018-01-13 17:00:00,8617.0
2018-01-13 18:00:00,8690.0
2018-01-13 19:00:00,8492.0
2018-01-13 20:00:00,8331.0
2018-01-13 21:00:00,8176.0
2018-01-13 22:00:00,7754.0
2018-01-13 23:00:00,7445.0
2018-01-14 00:00:00,7102.0
2018-01-14 01:00:00,6903.0
2018-01-14 02:00:00,6700.0
2018-01-14 03:00:00,6586.0
2018-01-14 04:00:00,6546.0
2018-01-14 05:00:00,6710.0
2018-01-14 06:00:00,6433.0
